# d_x d_y d_z
3.4030e-01 2.0010e-01 1.2802e+00
2.1742e-01 6.6738e-01 1.1621e+00
2.0390e-01 1.9956e-01 1.2975e+00
5.3650e-01 1.8441e-01 8.8201e-01
4.8532e-01 1.7465e-01 2.9184e-01
3.4554e-02 1.2601e-01 1.8205e-01
2.6492e-01 2.2028e-01 5.4754e-01
2.2132e-01 7.0100e-02 1.0802e+00
8.7874e-03 2.3764e-01 7.0373e-01
1.1576e-02 3.1915e-01 1.0310e+00
6.1205e-01 6.7044e-01 7.0068e-01
nan nan nan
9.1928e-01 1.5814e-02 7.3892e-01
2.1485e-01 7.3421e-01 9.4535e-01
1.9594e-01 3.1389e-01 5.1886e-01
3.2578e-01 4.8682e-02 1.0572e+00
4.9358e-02 2.7412e-01 7.4248e-01
1.7946e-01 5.2594e-01 8.4235e-01
2.9460e-01 3.4845e-01 7.5288e-01
5.3606e-01 3.6509e-03 7.7739e-01
4.0552e-03 8.2389e-01 8.4690e-01
4.3312e-01 9.7298e-02 4.6340e-01
3.9503e-01 2.2769e-01 1.3375e+00
4.0201e-01 2.3596e-01 7.2759e-01
8.0671e-02 3.8956e-01 5.7426e-01
3.5188e-01 3.3268e-02 8.3430e-01
4.8212e-01 6.0623e-01 4.0446e-01
2.7017e-01 6.3268e-02 3.8526e-01
3.5555e-01 7.7041e-01 6.5645e-01
1.6001e-01 2.3145e-01 4.6474e-01
2.8982e-01 7.2232e-01 1.1669e+00
4.1463e-01 2.9935e-01 9.4865e-01
8.0394e-01 2.3766e-01 3.2912e-01
7.9794e-01 1.4124e-01 1.5520e-01
8.1987e-01 1.1447e-01 8.5010e-01
2.7658e-01 4.5792e-01 5.3367e-01
5.7462e-01 1.8897e-01 1.3422e+00
2.8659e-01 2.3849e-01 7.2763e-01
2.6396e-01 6.0092e-01 8.0058e-01
5.4241e-01 1.7460e-01 3.7197e-01
7.8116e-01 3.0727e-01 6.1627e-01
5.8491e-02 9.4191e-01 5.8738e-01
2.9336e-01 3.7793e-01 8.7905e-01
5.9705e-02 7.7845e-01 4.4009e-01
5.4681e-02 5.4074e-01 8.9270e-01
4.2003e-01 7.7861e-01 1.0856e+00
3.3956e-01 2.8999e-01 6.9134e-01
5.6165e-01 2.1250e-01 7.9437e-01
1.0971e-01 3.8408e-02 1.1270e+00
1.6689e-01 6.7821e-01 7.3056e-01
1.6156e-01 3.2443e-01 1.1023e+00
1.3793e-01 8.5031e-02 6.6133e-01
6.4365e-01 1.5495e-02 7.7037e-01
3.7784e-01 3.9786e-01 7.0323e-01
4.0905e-01 3.2454e-02 6.8049e-01
2.4449e-01 7.2228e-01 5.9607e-01
4.7177e-02 5.4606e-01 2.9896e-01
6.3457e-03 4.5024e-01 7.2871e-01
5.3676e-01 3.6158e-01 4.9136e-01
6.4994e-01 2.3589e-01 7.0304e-01
1.5332e-01 8.5733e-01 8.9087e-01
6.4316e-01 5.3972e-01 2.9049e-01
5.4540e-02 1.1233e-01 2.4858e-01
2.5169e-01 1.5138e-01 6.0058e-01
9.4395e-01 3.8913e-01 5.9755e-01
