# d_x d_y d_z
7.2486e-02 3.0782e-01 1.6894e+00
4.8297e-01 4.3140e-01 8.3522e-01
2.5488e-01 8.4936e-02 1.3889e+00
1.3577e-01 2.1860e-01 6.9985e-01
2.9699e-01 5.1855e-01 8.4273e-01
4.8414e-01 6.1642e-03 1.5969e+00
4.0106e-01 5.5817e-01 1.0531e+00
5.0018e-01 9.1482e-01 1.3459e+00
5.2316e-01 2.3232e-01 1.3194e+00
1.1318e-01 1.3881e-01 1.1206e+00
nan nan nan
7.5723e-01 1.3412e-01 7.3611e-01
6.4117e-01 8.4893e-02 1.4873e+00
6.4383e-01 2.7682e-01 3.2531e-01
2.0235e-01 7.4084e-01 8.0003e-01
4.9652e-01 5.8381e-01 9.1724e-01
8.6824e-01 2.7189e-01 6.2379e-01
2.0065e-01 5.0217e-01 8.2396e-01
3.6026e-01 2.9048e-01 1.3526e+00
2.5210e-01 4.3380e-01 6.1427e-01
4.8023e-02 2.9590e-01 5.8655e-01
3.3254e-02 2.3894e-01 7.0866e-01
2.4471e-01 9.0849e-01 7.0589e-01
1.1591e-01 5.9792e-01 8.3291e-01
3.6238e-01 2.9038e-01 1.0513e+00
1.7795e-01 7.6624e-01 5.1516e-01
7.8489e-01 1.1653e-01 1.4205e+00
6.0127e-02 2.4260e-01 1.2221e+00
5.1673e-01 1.9845e-01 4.9089e-01
nan nan nan
nan nan nan
3.1048e-01 8.0782e-03 6.6457e-01
6.9491e-01 3.8134e-01 1.0592e+00
5.8614e-01 2.4035e-01 9.8172e-01
8.6867e-01 5.0182e-02 1.1971e+00
4.7638e-02 4.3551e-01 1.4093e+00
3.6725e-01 1.2665e-01 1.4791e+00
nan nan nan
2.0247e-01 5.4909e-01 9.9387e-01
8.7018e-01 2.3540e-01 8.6974e-01
2.6066e-01 5.4794e-01 5.5252e-01
3.7937e-01 4.5845e-01 1.9115e-01
8.2969e-02 4.0336e-01 1.2193e+00
5.3819e-01 3.1939e-01 1.7386e+00
9.5184e-01 1.1275e-01 8.3628e-01
4.5419e-01 5.5767e-02 1.4762e+00
4.4755e-01 8.7374e-02 1.4470e+00
4.6401e-01 2.9020e-01 8.4065e-01
5.6336e-01 3.7747e-01 4.7477e-01
2.1190e-01 3.2060e-01 4.5636e-01
9.8811e-01 1.3867e-01 1.2882e+00
9.5485e-01 1.3124e-01 1.0591e+00
2.4633e-01 2.5627e-01 1.2693e+00
2.1588e-01 1.3047e-01 5.5554e-01
