# d_x d_y d_z
5.3525e-01 1.2122e-01 6.2938e-01
3.1066e-01 3.3300e-01 6.1383e-01
2.5189e-01 2.8718e-02 3.8121e-01
5.8975e-01 1.4002e-01 7.6391e-01
1.9479e-01 6.0694e-01 4.0104e-01
8.3282e-02 1.5015e-01 1.0301e+00
3.3045e-01 1.2093e-01 7.8368e-01
1.4631e-01 3.9394e-01 9.6043e-01
4.0510e-01 2.7670e-01 5.8149e-01
2.6944e-01 3.9025e-01 9.3007e-01
2.7713e-01 2.1523e-01 6.1101e-01
2.8501e-01 4.0762e-01 3.3666e-01
3.9669e-01 4.6665e-02 9.3006e-01
4.8401e-01 2.6947e-01 1.8708e-01
2.0729e-01 4.0962e-01 4.7004e-01
2.9775e-01 2.5079e-01 3.1763e-01
5.5118e-01 2.3724e-01 4.9531e-01
2.1183e-01 3.0036e-02 1.4837e+00
5.0792e-01 3.4740e-01 8.3238e-01
5.4546e-01 1.4405e-02 1.6578e+00
9.6913e-02 3.9747e-01 1.2376e+00
7.2665e-02 3.0205e-01 8.3614e-01
3.0312e-01 1.9655e-01 6.4426e-01
nan nan nan
1.7098e-01 7.1252e-03 1.2562e+00
8.1515e-01 2.3155e-01 5.3498e-01
5.0837e-01 1.1394e-01 7.2692e-01
3.9366e-01 6.7635e-01 7.5821e-01
5.9579e-01 4.3524e-01 7.2173e-01
2.5739e-01 2.2287e-01 1.1364e+00
1.8790e-01 2.9980e-01 8.5437e-01
2.1570e-01 1.8061e-02 1.1502e+00
8.2974e-01 3.9526e-01 8.0775e-01
3.8935e-01 2.6409e-01 7.6978e-01
4.7303e-01 8.7572e-02 5.5462e-01
5.3397e-01 5.7910e-01 2.4411e-01
1.7273e-01 2.8217e-01 4.7511e-01
3.1107e-02 1.0024e-02 9.3120e-01
1.2750e-01 3.0965e-01 1.2970e+00
6.6973e-02 9.1092e-01 6.4584e-01
2.7885e-01 4.8890e-01 9.8211e-01
2.1112e-02 3.4243e-01 1.1195e+00
3.0064e-01 4.4767e-01 1.0941e+00
nan nan nan
7.6170e-01 7.2658e-02 1.0783e+00
3.9474e-01 2.2871e-01 8.7379e-01
2.5759e-02 3.1107e-01 4.9054e-01
5.7330e-01 1.5345e-02 5.3027e-01
1.2627e-01 3.8597e-01 5.2619e-01
4.2420e-01 3.7184e-02 1.1251e+00
3.5053e-01 5.9442e-01 6.6816e-01
6.2028e-01 2.6083e-01 9.2448e-01
1.6119e-01 4.0554e-01 5.0855e-01
8.9031e-01 1.2781e-01 4.4092e-01
4.9461e-01 4.9776e-02 4.2156e-01
7.4652e-01 1.1514e-01 7.9232e-01
5.9452e-01 5.0947e-02 9.0179e-01
1.1312e-01 6.9386e-01 5.8449e-01
4.4194e-01 1.6143e-01 7.1718e-01
7.0568e-01 1.4481e-01 5.2658e-01
1.2905e-02 4.1546e-01 6.7887e-01
5.2984e-01 1.0921e-01 3.9419e-01
2.2861e-01 7.6021e-01 4.7553e-01
2.0194e-01 2.1119e-01 8.4334e-01
4.6448e-01 1.3521e-01 1.1599e+00
1.5543e-01 1.3172e-01 6.2467e-01
6.9601e-01 7.7379e-02 1.0051e+00
2.5189e-01 2.5108e-02 1.3563e+00
6.5338e-01 2.4145e-01 9.7845e-01
2.6514e-01 7.0984e-01 7.3564e-01
6.2594e-01 5.0148e-02 9.0973e-01
6.7687e-02 3.2263e-01 7.2145e-01
1.5329e-01 2.2795e-01 1.0720e+00
4.1619e-01 3.9103e-02 1.2284e+00
5.6846e-01 5.1358e-01 5.5515e-01
2.1155e-01 4.4238e-01 6.7448e-01
1.8121e-01 8.9161e-01 7.6096e-01
4.1871e-01 3.9113e-01 6.8207e-01
1.6412e-01 6.7978e-01 7.6472e-01
1.5601e-02 5.7880e-01 5.0549e-01
2.9687e-01 3.2013e-01 8.4855e-01
3.7092e-01 5.0900e-01 1.1177e+00
7.5646e-01 9.5446e-02 4.4326e-01
3.4651e-01 4.6103e-01 8.1085e-01
1.6322e-01 7.2029e-01 4.7417e-01
3.2332e-02 7.9183e-01 5.8669e-01
1.3013e-01 5.8928e-02 3.9824e-01
1.0005e-01 6.2070e-01 8.9736e-01
7.0418e-01 3.3572e-01 7.7858e-01
2.6553e-01 4.4446e-01 7.7809e-01
3.6142e-01 4.1461e-01 1.1499e+00
5.4170e-02 5.9959e-02 3.7943e-01
5.9059e-01 3.0580e-01 9.6821e-01
9.2746e-02 7.5135e-03 1.1334e+00
4.3324e-01 4.5893e-01 7.4053e-01
4.9560e-03 2.2789e-01 6.1762e-01
3.1713e-01 1.1069e-01 9.3637e-01
1.0563e-05 3.9543e-01 7.6983e-01
1.5138e-01 3.9696e-01 9.6828e-01
6.5168e-01 4.3112e-01 5.0328e-01
4.6456e-01 3.5519e-01 6.6618e-01
2.2124e-01 5.3141e-01 3.8341e-01
3.7002e-01 4.1983e-01 3.1554e-01
3.2893e-01 1.1435e-01 9.8169e-01
2.6881e-04 1.6310e-01 1.1662e+00
7.6478e-01 1.3311e-01 3.4419e-01
7.6910e-01 1.2945e-01 8.7582e-01
7.9733e-01 3.6598e-01 5.3135e-01
2.4169e-01 7.6097e-01 9.0072e-01
7.2933e-02 6.5411e-02 1.3845e+00
3.4088e-01 2.5836e-01 6.5465e-01
1.0950e-01 1.5467e-01 6.6176e-01
2.5253e-01 1.6766e-01 7.2047e-01
8.6477e-01 1.4675e-02 4.5436e-01
1.6316e-01 4.3263e-03 7.8741e-01
3.3216e-01 4.8087e-03 8.1752e-01
3.0645e-01 7.4645e-01 8.8187e-01
5.4288e-01 5.5158e-01 8.1929e-01
7.4410e-01 1.8687e-01 9.9212e-01
8.2300e-01 2.5639e-01 9.3279e-01
6.8567e-01 3.8749e-01 9.9256e-01
3.0247e-01 3.1971e-01 3.3938e-01
1.4072e-01 7.4607e-02 6.9711e-01
5.6936e-01 7.3532e-02 3.7918e-01
8.7723e-02 5.7011e-01 4.4811e-01
1.8745e-02 3.5968e-01 7.9236e-01
2.7168e-01 1.4973e-01 7.3593e-01
5.2706e-02 4.6098e-01 8.7343e-01
4.9538e-01 1.9420e-01 4.2619e-01
3.9528e-01 6.1761e-01 2.5999e-01
4.7202e-01 2.7300e-01 4.5580e-01
1.6967e-01 3.1498e-01 8.0235e-01
4.5391e-01 3.6789e-01 1.1649e+00
5.0317e-01 3.9849e-01 8.5032e-01
1.6873e-01 8.5779e-01 6.3961e-01
2.4260e-01 3.4619e-01 6.4539e-01
4.6253e-01 4.7160e-02 7.1818e-01
3.6171e-02 9.0723e-02 1.2604e+00
4.0335e-01 3.7313e-01 1.0563e+00
5.3648e-01 1.6555e-01 1.3071e+00
1.8401e-01 4.6657e-01 9.2774e-01
2.5496e-02 1.7989e-01 9.9396e-01
3.7831e-01 2.9102e-01 6.4525e-01
nan nan nan
3.1621e-01 9.7442e-02 8.9161e-01
7.6263e-01 3.4245e-01 6.3825e-01
4.6452e-01 1.7583e-01 9.1129e-01
4.5901e-01 7.9977e-01 8.1702e-01
5.5561e-01 1.9734e-01 1.1562e+00
2.9199e-01 2.9773e-01 3.6533e-01
1.3801e-01 2.7428e-01 4.1771e-01
2.0398e-01 8.3003e-02 1.2640e+00
5.8975e-01 3.3323e-01 4.6632e-01
3.6914e-01 3.9488e-01 8.8932e-01
7.4928e-03 2.0835e-02 4.8838e-01
5.1609e-01 5.0336e-01 1.0929e+00
4.4343e-02 1.6567e-01 2.8428e-01
1.6740e-02 1.0917e-01 6.6330e-01
1.0334e-01 2.9288e-01 1.4359e+00
1.7081e-01 7.4577e-01 7.3147e-01
7.4357e-02 1.1450e-01 1.1676e+00
9.6693e-02 3.3823e-01 1.4308e+00
3.7969e-01 2.2807e-01 9.3784e-01
8.1564e-01 3.5501e-01 5.5342e-01
7.6150e-01 6.1844e-02 7.8145e-01
3.0530e-01 4.0607e-01 7.7635e-01
7.1501e-01 4.2457e-01 8.1562e-01
5.9831e-01 1.2553e-01 4.9412e-01
2.0522e-01 4.7576e-01 8.4239e-01
4.5467e-01 8.8677e-03 1.0897e+00
4.2187e-01 4.7302e-01 5.4664e-01
6.9617e-01 2.9918e-01 7.9240e-01
2.7282e-01 2.5219e-01 5.4428e-01
5.0366e-01 1.8058e-01 9.1617e-01
4.4900e-01 1.2485e-01 8.9393e-01
7.1223e-01 2.0655e-01 5.7860e-01
6.3381e-01 4.7291e-02 5.2514e-01
8.7228e-02 5.4781e-01 4.0400e-01
4.2134e-01 1.0890e-01 4.7505e-01
6.9811e-01 1.6899e-01 6.7577e-01
8.1961e-02 2.6876e-01 6.9839e-01
6.4468e-01 1.2884e-01 6.1222e-01
2.3512e-01 7.0016e-01 4.7647e-01
8.7289e-01 2.5929e-01 6.5062e-01
4.9106e-01 1.2087e-01 1.1697e+00
1.5333e-01 1.2749e-01 5.9383e-01
8.8298e-01 1.0481e-01 3.3033e-01
1.5723e-01 1.9246e-01 1.2532e+00
4.6119e-01 4.0959e-01 7.7730e-01
3.1221e-01 6.5959e-01 8.0601e-01
5.4013e-01 2.0597e-01 9.0680e-01
5.6387e-02 3.8585e-01 8.1197e-01
1.6458e-01 2.8010e-01 6.1769e-01
4.7730e-01 2.5632e-01 9.9847e-01
6.3098e-01 1.4142e-01 5.1367e-01
1.3977e-01 2.3841e-01 9.6479e-01
1.7413e-01 6.3196e-01 7.8685e-01
2.9378e-01 4.7449e-01 8.3521e-01
2.0290e-01 5.9006e-01 7.5162e-01
2.8583e-02 4.9541e-01 7.8450e-01
3.1657e-01 3.3387e-01 9.2216e-01
2.4579e-01 2.8803e-01 5.4682e-01
7.8417e-01 1.2086e-01 5.0472e-01
3.1778e-01 3.3558e-01 8.3380e-01
1.2291e-01 5.0578e-01 7.8228e-01
1.2029e-01 8.4461e-01 7.6850e-01
3.2728e-01 3.6115e-02 7.7432e-01
1.9443e-02 7.3450e-01 1.0213e+00
4.4497e-01 4.7361e-01 5.7550e-01
3.6517e-01 5.2393e-01 8.2103e-01
3.9583e-01 3.3470e-01 1.2375e+00
3.8869e-02 8.9128e-02 9.3312e-01
